m,n
34,15
34,16
62,17
49,18
60,19
51,20
55,21
60,22
62,23
71,24
74,25
91,26
82,27
100,28
107,29
90,30
99,31
87,32
97,33
131,34
128,35
112,36
115,37
124,38
144,39
133,40
126,41
159,42
122,43
96,44
142,45
168,46
179,47
189,48
149,49
212,50
144,51
200,52
185,53
195,54
257,55
248,56
242,57
257,58
223,59
258,60
212,61
260,62
237,63
201,64
260,65
259,66
261,67
202,68
230,69
259,70
268,71
260,72
269,73
261,74
271,75
291,76
264,77
266,78
309,79
308,80
